ticker,type,strike,expiry,iv,open_interest,market_price
BOVAT139,PUT,R$ 139.00,21/08/2026,22.3%,12952,-32.33
BOVAO198,PUT,R$ 198.00,20/03/2026,30.0%,12917,-3.54
BOVAA128W5,CALL,R$ 128.00,30/01/2026,0.0%,12595,9.8
BOVAG140,CALL,R$ 140.00,17/07/2026,10.3%,12520,8.75
BOVAG21,CALL,R$ 140.00,16/07/2027,0.0%,12220,11.9
BOVAM119,PUT,R$ 119.00,15/01/2027,28.5%,12141,0
BOVAO155,PUT,R$ 155.00,19/03/2027,26.3%,12104,-16.26
BOVAD182,CALL,R$ 182.00,17/04/2026,16.3%,12100,10.9
BOVAC114,CALL,R$ 114.00,20/03/2026,0.0%,12021,6.5
BOVAM169W4,PUT,R$ 169.00,23/01/2026,22.0%,11998,-15.89
BOVAB161W1,CALL,R$ 161.00,06/02/2026,14.7%,11962,26.41
BOVAA190W4,CALL,R$ 190.00,23/01/2026,31.8%,11900,-50
BOVAO196,PUT,R$ 196.00,20/03/2026,28.9%,11856,0
BOVAS134,PUT,R$ 134.00,17/07/2026,24.0%,11802,106.66
BOVAM128W5,PUT,R$ 128.00,30/01/2026,43.1%,11800,0
BOVAB167W1,CALL,R$ 167.00,06/02/2026,14.8%,11770,45.2
BOVAX143,PUT,R$ 143.00,18/12/2026,26.0%,11720,-13.79
BOVAE137,CALL,R$ 137.00,15/05/2026,0.0%,11695,0
BOVAT152,PUT,R$ 152.00,21/08/2026,23.1%,11661,-9.17
BOVAR140,PUT,R$ 140.00,19/06/2026,22.6%,11551,0
BOVAO194,PUT,R$ 194.00,20/03/2026,27.7%,11539,0
BOVAS132,PUT,R$ 132.00,17/07/2026,25.5%,11498,5.26
BOVAD146,CALL,R$ 146.00,17/04/2026,0.0%,11440,5.09
BOVAW70,PUT,R$ 70.00,19/11/2026,44.3%,11411,-20
BOVAD2,CALL,R$ 157.00,17/04/2026,13.5%,11403,-0.53
BOVAS190,PUT,R$ 190.00,16/07/2027,26.6%,11402,-3.34
BOVAT1,PUT,R$ 149.00,21/08/2026,20.7%,11400,800
BOVAL174,CALL,R$ 174.00,18/12/2026,16.7%,11361,-4.9
BOVAA134W4,CALL,R$ 134.00,23/01/2026,0.0%,11321,3.73
BOVAL149,CALL,R$ 149.00,18/12/2026,0.0%,11302,8.71
BOVAH5,CALL,R$ 125.00,21/08/2026,0.0%,11269,0.33
BOVAT146,PUT,R$ 146.00,21/08/2026,21.6%,11215,-34.89
BOVAP128,PUT,R$ 128.00,17/04/2026,26.1%,11210,-37.25
BOVAX200,PUT,R$ 20.00,18/12/2026,76.6%,11202,-87.5
BOVAP102,PUT,R$ 102.00,17/04/2026,36.3%,11201,-50
BOVAQ126,PUT,R$ 126.00,15/05/2026,24.4%,11200,-96.29
BOVAJ49,CALL,R$ 164.00,16/10/2026,15.9%,11200,1.35
BOVAL18,CALL,R$ 120.00,18/12/2026,0.0%,11193,-2.46
BOVAW222,PUT,R$ 200.00,19/11/2027,27.4%,11120,-2.66
BOVAU4,PUT,R$ 117.00,18/09/2026,27.1%,11110,-2.59
BOVAX32,PUT,R$ 128.00,18/12/2026,27.4%,11104,1.26
BOVAQ129,PUT,R$ 129.00,15/05/2026,24.0%,11021,-30.64
BOVAP890,PUT,R$ 89.00,17/04/2026,40.3%,11000,0
BOVAV117,PUT,R$ 117.00,16/10/2026,28.4%,11000,3.88
BOVAV121,PUT,R$ 121.00,16/10/2026,26.1%,11000,0
BOVAU127,PUT,R$ 127.00,18/09/2026,25.7%,11000,36.25
BOVAV129,PUT,R$ 129.00,16/10/2026,26.1%,11000,-59.41
BOVAM136W5,PUT,R$ 136.00,30/01/2026,33.9%,11000,-66.66
BOVAM145W5,PUT,R$ 145.00,30/01/2026,29.3%,11000,0
BOVAN166W1,PUT,R$ 166.00,06/02/2026,15.9%,11000,0
BOVAN169W1,PUT,R$ 169.00,06/02/2026,16.9%,11000,0
BOVAB198,CALL,R$ 198.00,20/02/2026,26.6%,11000,0
BOVAL51,CALL,R$ 165.00,18/12/2026,15.4%,10970,12.41
BOVAL80,CALL,R$ 80.00,18/12/2026,0.0%,10966,4.4
BOVAT8,PUT,R$ 145.00,21/08/2026,22.8%,10947,-5.8
BOVAT148,PUT,R$ 148.00,21/08/2026,21.4%,10902,6.06
BOVAC112,CALL,R$ 112.00,20/03/2026,0.0%,10894,0.25
BOVAT165,PUT,R$ 165.00,21/08/2026,20.5%,10816,-8.75
BOVAP2,PUT,R$ 157.00,17/04/2026,18.1%,10700,-22.95
BOVAK222,CALL,R$ 200.00,19/11/2027,13.1%,10679,0
BOVAD133,CALL,R$ 133.00,17/04/2026,0.0%,10590,-0.7
BOVAP159,PUT,R$ 159.00,17/04/2026,18.7%,10580,-14.85
BOVAN188,PUT,R$ 188.00,20/02/2026,33.1%,10508,-6.56
